date,change_per,close,high,index,low,name,open,ticket,volume
2019-06-14,-1.92,102300.0,104300.0,VN 30 (VNI30),102000.0,Cotec Construction JSC,102500.0,CTD,468500.0
2019-06-13,-1.51,104300.0,106300.0,VN 30 (VNI30),104300.0,Cotec Construction JSC,105900.0,CTD,342200.0
2019-06-12,-0.19,105900.0,106800.0,VN 30 (VNI30),105900.0,Cotec Construction JSC,106000.0,CTD,286300.0
2019-06-11,0.0,106100.0,106500.0,VN 30 (VNI30),106000.0,Cotec Construction JSC,106500.0,CTD,278500.0
2019-06-10,0.47,106100.0,107000.0,VN 30 (VNI30),105500.0,Cotec Construction JSC,106000.0,CTD,372100.0
2019-06-07,-1.31,105600.0,107000.0,VN 30 (VNI30),105400.0,Cotec Construction JSC,105500.0,CTD,506599.99999999994
2019-06-06,0.0,107000.0,108000.0,VN 30 (VNI30),105000.0,Cotec Construction JSC,108000.0,CTD,415400.0
2019-06-05,0.66,107000.0,109000.0,VN 30 (VNI30),107000.0,Cotec Construction JSC,109000.0,CTD,250900.0
2019-06-04,-4.15,106300.0,111100.0,VN 30 (VNI30),106300.0,Cotec Construction JSC,111000.0,CTD,445800.0
2019-06-03,-0.09,110900.0,111300.0,VN 30 (VNI30),106000.0,Cotec Construction JSC,111000.0,CTD,863600.0
2019-05-31,-0.89,111000.0,112800.0,VN 30 (VNI30),111000.0,Cotec Construction JSC,112000.0,CTD,272000.0
2019-05-30,0.81,112000.0,113500.0,VN 30 (VNI30),110500.0,Cotec Construction JSC,111100.0,CTD,373800.0
2019-05-29,-1.68,111100.0,113000.0,VN 30 (VNI30),111000.0,Cotec Construction JSC,113000.0,CTD,726400.0
2019-05-28,-0.88,113000.0,114800.0,VN 30 (VNI30),113000.0,Cotec Construction JSC,114000.0,CTD,419500.0
2019-05-27,-1.04,114000.0,115200.0,VN 30 (VNI30),114000.0,Cotec Construction JSC,115200.0,CTD,920600.0
2019-05-24,0.0,115200.0,115800.0,VN 30 (VNI30),114800.0,Cotec Construction JSC,115200.0,CTD,637100.0
2019-05-23,-0.09,115200.0,115900.0,VN 30 (VNI30),115000.0,Cotec Construction JSC,115200.0,CTD,425000.0
2019-05-22,-0.35,115300.0,116000.0,VN 30 (VNI30),115100.0,Cotec Construction JSC,115100.0,CTD,379500.0
2019-05-21,-1.53,115700.0,117300.0,VN 30 (VNI30),115100.0,Cotec Construction JSC,116200.0,CTD,1192300.0
2019-05-20,-0.42,117500.0,118000.0,VN 30 (VNI30),116000.0,Cotec Construction JSC,118000.0,CTD,416300.0
2019-05-17,-0.84,118000.0,119500.0,VN 30 (VNI30),117100.0,Cotec Construction JSC,119500.0,CTD,558100.0
2019-05-16,1.71,119000.0,119000.0,VN 30 (VNI30),116900.0,Cotec Construction JSC,117000.0,CTD,917500.0
2019-05-15,2.18,117000.0,117600.0,VN 30 (VNI30),114500.0,Cotec Construction JSC,114500.0,CTD,1291200.0
2019-05-14,-1.8,114500.0,117000.0,VN 30 (VNI30),114000.0,Cotec Construction JSC,116400.0,CTD,1075300.0
2019-05-13,-0.51,116600.0,119000.0,VN 30 (VNI30),116600.0,Cotec Construction JSC,117200.0,CTD,579100.0
2019-05-10,0.17,117200.0,119200.0,VN 30 (VNI30),117000.0,Cotec Construction JSC,117000.0,CTD,1390600.0
2019-05-09,-1.02,117000.0,118200.0,VN 30 (VNI30),117000.0,Cotec Construction JSC,118200.0,CTD,483700.0
2019-05-08,-0.84,118200.0,119000.0,VN 30 (VNI30),118000.0,Cotec Construction JSC,119000.0,CTD,925300.0
2019-05-07,-0.25,119200.0,120100.0,VN 30 (VNI30),119200.0,Cotec Construction JSC,119500.0,CTD,468800.0
2019-05-06,-1.65,119500.0,120500.0,VN 30 (VNI30),119000.0,Cotec Construction JSC,120500.0,CTD,820500.0
2019-05-03,0.83,121500.0,121500.0,VN 30 (VNI30),119800.0,Cotec Construction JSC,120000.0,CTD,839100.0
2019-05-02,-0.25,120500.0,120800.0,VN 30 (VNI30),120000.0,Cotec Construction JSC,120800.0,CTD,530900.0
2019-04-26,-0.08,120800.0,121100.0,VN 30 (VNI30),119500.0,Cotec Construction JSC,121000.0,CTD,826800.0000000001
2019-04-25,-0.08,120900.0,121500.0,VN 30 (VNI30),120500.0,Cotec Construction JSC,121000.0,CTD,978700.0
2019-04-24,0.75,121000.0,121000.0,VN 30 (VNI30),119500.0,Cotec Construction JSC,120100.0,CTD,1109900.0
2019-04-23,0.5,120100.0,120500.0,VN 30 (VNI30),119300.0,Cotec Construction JSC,119500.0,CTD,1804700.0
2019-04-22,-1.65,119500.0,120600.0,VN 30 (VNI30),118700.0,Cotec Construction JSC,120200.0,CTD,3778000.0
2019-04-19,0.75,121500.0,122000.0,VN 30 (VNI30),120300.0,Cotec Construction JSC,120400.0,CTD,2226000.0
2019-04-18,-0.82,120600.0,121600.0,VN 30 (VNI30),120000.0,Cotec Construction JSC,121000.0,CTD,2649100.0000000005
2019-04-17,-1.94,121600.0,123900.0,VN 30 (VNI30),121000.0,Cotec Construction JSC,123200.0,CTD,2401300.0
2019-04-16,-1.67,124000.0,125000.0,VN 30 (VNI30),122200.0,Cotec Construction JSC,125000.0,CTD,1825900.0
2019-04-12,3.62,126100.0,126400.0,VN 30 (VNI30),122000.0,Cotec Construction JSC,122000.0,CTD,2709000.0
2019-04-11,-0.08,121700.0,127000.0,VN 30 (VNI30),119700.0,Cotec Construction JSC,121600.0,CTD,9907500.0
2019-04-10,-6.95,121800.0,128000.0,VN 30 (VNI30),121800.0,Cotec Construction JSC,121800.0,CTD,6984100.0
2019-04-09,-6.97,130900.0,140100.0,VN 30 (VNI30),130900.0,Cotec Construction JSC,140000.0,CTD,6517600.0
2019-04-08,0.0,140700.0,142000.0,VN 30 (VNI30),140500.0,Cotec Construction JSC,141900.0,CTD,429799.99999999994
2019-04-05,-0.14,140700.0,142400.0,VN 30 (VNI30),140400.0,Cotec Construction JSC,140400.0,CTD,1329400.0
2019-04-04,-1.05,140900.0,142700.0,VN 30 (VNI30),140900.0,Cotec Construction JSC,141000.0,CTD,524700.0
2019-04-03,-0.07,142400.0,142500.0,VN 30 (VNI30),140100.0,Cotec Construction JSC,142500.0,CTD,572000.0
